"filename", "language", "TOML", "JSON", "Markdown", "Luau", "comment", "blank", "total"
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\uis.lua", "Luau", 0, 0, 0, -18, -4, -7, -29
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vacuum[retired].lua", "Luau", 0, 0, 0, -52, -8, -26, -86
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\init.lua", "Luau", 0, 0, 0, -127, -5, -17, -149
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\init.lua", "Luau", 0, 0, 0, -156, -19, -18, -193
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\presets.lua", "Luau", 0, 0, 0, -78, -5, -5, -88
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\types.lua", "Luau", 0, 0, 0, -24, -1, -4, -29
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\init.lua", "Luau", 0, 0, 0, -16, -1, -7, -24
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\wally.toml", "TOML", -7, 0, 0, 0, 0, 0, -7
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\rbxlib.lua", "Luau", 0, 0, 0, -1, 0, -1, -2
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\README.md", "Markdown", 0, 0, -5, 0, 0, -2, -7
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\aftman.toml", "TOML", -4, 0, 0, 0, -3, -1, -8
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\default.project.json", "JSON", 0, -50, 0, 0, 0, -8, -58
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\selene.toml", "TOML", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\sourcemap.json", "JSON", 0, -1, 0, 0, 0, 0, -1
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\readme.server.lua", "Luau", 0, 0, 0, 0, -8, -1, -9
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\wally.toml", "TOML", -7, 0, 0, 0, 0, -1, -8
"Total", "-", -19, -51, -5, -5652, -568, -1217, -7512
